Date,Day,Time,Currency,Impact,Event,Forecast,Previous
2026-01-01,Thursday,All Day,USD,LOW,New Year's Day - Markets Closed,,
2026-01-07,Wednesday,8:30am,USD,HIGH,Nonfarm Employment Change,160K,256K
2026-01-07,Wednesday,8:30am,USD,HIGH,Unemployment Rate,4.2%,4.2%
2026-01-07,Wednesday,8:30am,USD,MEDIUM,Average Hourly Earnings m/m,0.3%,0.4%
2026-01-09,Friday,8:30am,USD,MEDIUM,Unemployment Claims,210K,201K
2026-01-13,Tuesday,2:00am,CNY,HIGH,CPI y/y,0.1%,0.2%
2026-01-14,Wednesday,8:30am,USD,HIGH,Core CPI m/m,0.2%,0.3%
2026-01-14,Wednesday,8:30am,USD,HIGH,CPI m/m,0.3%,0.3%
2026-01-14,Wednesday,8:30am,USD,HIGH,CPI y/y,2.9%,2.7%
2026-01-15,Thursday,8:30am,USD,HIGH,Core PPI m/m,0.2%,0.2%
2026-01-15,Thursday,8:30am,USD,MEDIUM,PPI m/m,0.4%,0.4%
2026-01-16,Friday,8:30am,USD,MEDIUM,Retail Sales m/m,0.6%,0.7%
2026-01-16,Friday,8:30am,USD,MEDIUM,Core Retail Sales m/m,0.4%,0.4%
2026-01-20,Tuesday,All Day,USD,LOW,Martin Luther King Jr. Day - Markets Closed,,
2026-01-22,Thursday,3:30am,EUR,MEDIUM,German Flash Manufacturing PMI,43.5,42.5
2026-01-22,Thursday,9:45am,USD,MEDIUM,Flash Manufacturing PMI,48.5,49.4
2026-01-22,Thursday,9:45am,USD,MEDIUM,Flash Services PMI,56.8,58.5
2026-01-23,Friday,7:45am,EUR,HIGH,ECB Interest Rate Decision,3.00%,3.00%
2026-01-23,Friday,8:30am,EUR,HIGH,ECB Press Conference,,
2026-01-28,Wednesday,10:00am,USD,MEDIUM,CB Consumer Confidence,104.1,104.7
2026-01-29,Thursday,2:00pm,USD,HIGH,FOMC Interest Rate Decision,4.25%,4.50%
2026-01-29,Thursday,2:00pm,USD,HIGH,FOMC Statement,,
2026-01-29,Thursday,2:30pm,USD,HIGH,FOMC Press Conference,,
2026-01-30,Friday,8:30am,USD,MEDIUM,Employment Cost Index q/q,0.9%,0.8%
